Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356891,05/03/2020 10:24:03 AM,,,92,,P,PROGRESS,15,,,,5161,E,213,1225,,,
PD202000356893,05/03/2020 10:25:03 AM,,,94,,,,15,,,,521A,H,531K,8815,,,
PD202000356894,05/03/2020 10:26:40 AM,,,43,,P,PROGRESS,4,,,,532A,H,531K,8819,,,
PD202000356895,05/03/2020 10:28:27 AM,,,96,,,,12,,,,4B46,MT,811,5517,,,
PD202000356897,05/03/2020 10:32:38 AM,,,43,,PM,,11,,3200,CLARKSVILLE PKE,627A,,231V,0,36.194,-86.832,POINT (-86.832 36.194)
PD202000356898,05/03/2020 10:33:38 AM,,,43,,P,PROGRESS,4,,,,123A,W,123,4675,,,
PD202000356899,05/03/2020 10:33:44 AM,,,96,,,,4,,7000,CHARLOTTE PKE,123A,,136Z,0,36.129,-86.905,POINT (-86.905 36.129)
PD202000356900,05/03/2020 10:33:45 AM,,,87,,P,PROGRESS,4,,,,313A,S,315,8807,,,
PD202000356901,05/03/2020 10:35:39 AM,,,43,,P,PROGRESS,4,,300,WALTON LN,723A,,,,,,
PD202000356903,05/03/2020 10:37:36 AM,,,43,,P,PROGRESS,4,,2200,26TH AV N,611A,,,,,,
PD202000356904,05/03/2020 10:37:56 AM,,,96,,,,12,,0,SPRING ST,5828,,433W,0,36.177,-86.776,POINT (-86.776 36.177)
PD202000356908,05/03/2020 10:41:33 AM,,,15,,P,PROGRESS,15,,,,2912,S,317P,,,,
PD202000356909,05/03/2020 10:42:22 AM,,,96,,,,15,,,,215A,E,215K,1301,,,
PD202000356910,05/03/2020 10:43:16 AM,,,62,,P,PROGRESS,11,,,,515A,H,535N,8963,,,
PD202000356913,05/03/2020 10:46:18 AM,,,43,,P,PROGRESS,4,,,,513A,H,513N,9107,,,
PD202000356914,05/03/2020 10:48:30 AM,,,88,,PW,,10,,,,616A,N,611,4401,,,
PD202000356915,05/03/2020 10:48:55 AM,,,46,,P,PROGRESS,4,,,,BMPD,W,117,6119,,,
PD202000356917,05/03/2020 10:51:12 AM,,,43,,P,PROGRESS,4,,,,615A,N,611,4431,,,
PD202000356918,05/03/2020 10:52:33 AM,,,3,,,,4,,,,533A,H,531K,8823,,,
PD202000356919,05/03/2020 10:52:44 AM,,,44,,R,REPORT,6,,,,610A,N,613K,4563,,,
PD202000356920,05/03/2020 10:54:05 AM,,,40,,P,PROGRESS,4,,,,213A,E,215N,1341,,,
PD202000356921,05/03/2020 10:54:25 AM,20200313514,,50,,TV,,1,,,,424A,,,,,,
PD202000356922,05/03/2020 10:54:33 AM,20200313513,,50,,TV,,1C,,,,PARKS,,,,,,
PD202000356923,05/03/2020 10:54:48 AM,,,83,,R,REPORT,11,,,,723A,M,721,2045,,,
PD202000356924,05/03/2020 10:56:42 AM,,,96,,,,12,,,,4B46,MT,811K,5525,,,
PD202000356925,05/03/2020 10:56:48 AM,,,50,,P,PROGRESS,1,,,,313A,S,317N,,,,
PD202000356926,05/03/2020 10:56:54 AM,20200313353,,83,,R,REPORT,1,,,,723A,,,,,,
PD202000356927,05/03/2020 10:58:01 AM,,,96,,,,12,,,,5253,N,625,,,,
PD202000356928,05/03/2020 10:58:30 AM,,,43,,P,PROGRESS,11,,,,,S,317,8415,,,
PD202000356932,05/03/2020 11:01:10 AM,,,96,,,,12,,200,N 1ST ST,5828,,,,,,
PD202000356933,05/03/2020 11:01:40 AM,,,50,,R,REPORT,1,,,,VANDY,MT,815V,5809,,,
PD202000356934,05/03/2020 11:04:16 AM,,,96,,,,12,,,,221A,E,223N,1865,,,
PD202000356937,05/03/2020 11:07:53 AM,20200313533,,43,,PM,,6,,,,823A,MT,825N,8527,,,
PD202000356938,05/03/2020 11:08:30 AM,,,70,,A,ALARM,12,,,,823A,MT,825,6405,,,
PD202000356939,05/03/2020 11:08:31 AM,,,44,,P,PROGRESS,11,,3400,PERCY PRIEST DR,521A,0,000,0,,,
PD202000356940,05/03/2020 11:08:58 AM,20200313645,,50,,TV,,1,,,,321A,,,,,,
PD202000356944,05/03/2020 11:09:57 AM,,,96,,,,12,,,,5251,N,611,4403,,,
PD202000356945,05/03/2020 11:10:46 AM,20200313899,,65,,R,REPORT,11,,600,RANSOM VILLAGE WAY,326B,,,,,,
PD202000356946,05/03/2020 11:11:47 AM,,,43,,P,PROGRESS,1C,,,,215A,E,215K,1329,,,
PD202000356948,05/03/2020 11:12:32 AM,,,87,,P,PROGRESS,4,,,,212A,E,217,,,,
PD202000356949,05/03/2020 11:13:17 AM,,,96,,,,12,,0,OLDHAM ST,5828,,,,,,
PD202000356950,05/03/2020 11:13:46 AM,,,96,,,,4,,,,123A,W,123K,4701,,,
PD202000356952,05/03/2020 11:14:13 AM,,,50,,RV,,8,,,,331A,S,331N,8757,,,
PD202000356953,05/03/2020 11:15:28 AM,,,43,,PM,,4,,,,325A,S,321,8705,,,
PD202000356954,05/03/2020 11:17:17 AM,,,71,,A,ALARM,12,,,,821A,MT,821N,8025,,,
PD202000356955,05/03/2020 11:17:35 AM,,,40,,P,PROGRESS,6,,100,MARIE ST,223A,,216U,0,36.197,-86.77,POINT (-86.77 36.197)
PD202000356956,05/03/2020 11:17:42 AM,,,71,,A,ALARM,11,,,,,S,333,,,,
PD202000356957,05/03/2020 11:18:07 AM,,,15,,P,PROGRESS,15,,,,413A,C,413Q,,,,
PD202000356958,05/03/2020 11:18:12 AM,,,71,,A,ALARM,11,,,,113A,W,117,6201,,,
PD202000356959,05/03/2020 11:18:37 AM,,,88,,P,PROGRESS,11,,5000,OLD HICKORY BLVD,,521,521,9507,36.194,-86.618,POINT (-86.618 36.194)
PD202000356960,05/03/2020 11:19:08 AM,,,43,,P,PROGRESS,4,,,,721A,M,727,1753,,,
PD202000356964,05/03/2020 11:21:12 AM,,,43,,P,PROGRESS,4,,,,616A,N,615,5313,,,
PD202000356965,05/03/2020 11:21:14 AM,,,15,,P,PROGRESS,15,,,,2912,H,533,8987,,,
PD202000356966,05/03/2020 11:21:21 AM,,,70,,A,ALARM,11,,,,315A,S,313,8405,,,
PD202000356967,05/03/2020 11:21:42 AM,,,92,,P,PROGRESS,15,,,,5161,E,213,1225,,,
PD202000356968,05/03/2020 11:21:59 AM,,,43,,A,ALARM,5,,,,311A,S,313,8435,,,
PD202000356969,05/03/2020 11:22:35 AM,,,96,,,,15,,1500,S GALLATIN PKE,711A,M,711,1509,36.238,-86.724,POINT (-86.724 36.238)
PD202000356970,05/03/2020 11:22:50 AM,,,43,,P,PROGRESS,4,,,,517A,H,513N,9029,,,
PD202000356971,05/03/2020 11:23:19 AM,,,87,,P,PROGRESS,11,,,,412A,C,413K,1957,,,
PD202000356972,05/03/2020 11:23:42 AM,,,43,,P,PROGRESS,4,,,,625A,N,623,3115,,,
PD202000356973,05/03/2020 11:23:49 AM,,,40,,PV,,4,,,,521A,H,525,9611,,,
PD202000356975,05/03/2020 11:24:31 AM,,,96,,,,4,,,,411A,C,415,,,,
PD202000356977,05/03/2020 11:24:37 AM,,,71,,A,ALARM,13A,,,,517A,H,517,,,,
PD202000356979,05/03/2020 11:25:04 AM,,,43,,P,PROGRESS,4,,,,110A,W,113,,,,
PD202000356980,05/03/2020 11:26:18 AM,,,96,,,,12,,100,OLDHAM ST,5828,,433W,0,36.174,-86.774,POINT (-86.774 36.174)
PD202000356981,05/03/2020 11:27:08 AM,,,95,,,,8,,,,121A,W,125,4807,,,
PD202000356982,05/03/2020 11:28:08 AM,,,96,,,,12,,100,WINDSOR DR,117A,,118U,0,36.102,-86.867,POINT (-86.867 36.102)
PD202000356986,05/03/2020 11:29:59 AM,,,93,,,,9,,,,412A,C,411,4203,,,
PD202000356987,05/03/2020 11:30:18 AM,,,92,,P,PROGRESS,15,,4000,CLARKSVILLE PKE,623A,,231X,0,36.211,-86.839,POINT (-86.839 36.211)
PD202000356988,05/03/2020 11:30:33 AM,20200313563,,50,,R,REPORT,1,,,,TE10,,,,,,
PD202000356989,05/03/2020 11:31:17 AM,,,44,,P,PROGRESS,9S,,,,311A,S,311,8147,,,
PD202000356990,05/03/2020 11:31:37 AM,,,43,,P,PROGRESS,4,,1800,HICKORY HOLLOW TER,333A,,,,,,
PD202000356991,05/03/2020 11:32:00 AM,,,43,,A,ALARM,13,,1500,ANTIOCH PKE,315A,,323V,0,36.079,-86.683,POINT (-86.683 36.079)
PD202000356992,05/03/2020 11:33:55 AM,,,44,,P,PROGRESS,11,,,,625A,N,617K,4239,,,
PD202000356993,05/03/2020 11:34:11 AM,20200313404,,43,,P,PROGRESS,6,,,,122A,W,121,4903,,,
PD202000356994,05/03/2020 11:34:12 AM,,,44,,P,PROGRESS,9,,,,821A,MT,823,6919,,,
PD202000356995,05/03/2020 11:35:01 AM,20200313564,,16,,P,PROGRESS,4,,,,313A,,,,,,
PD202000356996,05/03/2020 11:35:54 AM,,,96,,,,15,,300,ANDERSON LN,715A,,,,,,
PD202000356997,05/03/2020 11:36:47 AM,20200313569,,43,,RT,,1,,,,TE17,,,,,,
PD202000356999,05/03/2020 11:39:16 AM,,,43,,P,PROGRESS,6,,100,MARGARET ST,712A,M,713,1627,36.256,-86.704,POINT (-86.704 36.256)
PD202000357000,05/03/2020 11:39:35 AM,,,43,,P,PROGRESS,4,,,,424A,C,423,,,,
PD202000357001,05/03/2020 11:39:38 AM,,,43,,PM,,10,,,,620A,N,627,3229,,,
PD202000357003,05/03/2020 11:39:49 AM,,,43,,P,PROGRESS,4,,,,313A,S,317,8415,,,
PD202000357004,05/03/2020 11:40:22 AM,,,96,,,,15,,,,423A,C,423N,4009,,,
PD202000357005,05/03/2020 11:42:26 AM,,,43,,P,PROGRESS,4,,,,415A,C,411,4205,,,
PD202000357006,05/03/2020 11:42:37 AM,,,87,,P,PROGRESS,4,,,,311A,MT,821,8043,,,
PD202000357007,05/03/2020 11:43:45 AM,20200313649,,50,,RV,,1,,,,121A,W,125,4819,,,
PD202000357008,05/03/2020 11:44:52 AM,,,45,,P,PROGRESS,6,,,,412A,C,411,4203,,,
PD202000357009,05/03/2020 11:44:54 AM,,,43,,P,PROGRESS,4,,,,423A,C,423,4077,,,
PD202000357011,05/03/2020 11:47:56 AM,,,65,,P,PROGRESS,11,,500,CHEYENNE BLVD,,,225Z,0,36.26,-86.679,POINT (-86.679 36.26)
PD202000357012,05/03/2020 11:49:10 AM,20200313615,,50,,RV,,1,,,,331A,,,,,,
PD202000357013,05/03/2020 11:49:43 AM,,,94,,,,4,,400,MYATT DR,727A,M,715,1715,,,
PD202000357014,05/03/2020 11:50:10 AM,,,43,,PM,,11,,,,125A,W,123K,4677,,,
PD202000357015,05/03/2020 11:51:09 AM,,,57,,P,PROGRESS,10,,,,120A,W,121,4903,,,
PD202000357017,05/03/2020 11:52:41 AM,,,96,,,,12,,,,821A,MT,821K,8019,,,
PD202000357018,05/03/2020 11:54:17 AM,,,92,,P,PROGRESS,15,,,,5161,E,213,1219,,,
PD202000357019,05/03/2020 11:54:55 AM,,,43,,P,PROGRESS,6,,,,617A,N,615K,5419,,,
PD202000357020,05/03/2020 11:55:36 AM,,,96,,,,4,,,,1E21,N,617N,4309,,,
PD202000357022,05/03/2020 11:55:56 AM,,,43,,P,PROGRESS,15,,,,2911,M,725Q,2145,,,
PD202000357023,05/03/2020 11:56:08 AM,20200313596,,50,,RT,,1,,,,TE17,,,,,,
PD202000357024,05/03/2020 11:57:21 AM,,,95,,,,4,,4000,LEBANON RD,521A,H,521,9613,,,
PD202000357025,05/03/2020 11:58:56 AM,20200313590,,54,,P,PROGRESS,6,,300,RIO VISTA DR,725A,715,715,1713,,,
PD202000357026,05/03/2020 11:59:52 AM,,,43,,P,PROGRESS,11,,2400,GALLATIN PKE N,,,,,,,
PD202000357027,05/03/2020 12:00:35 PM,,,88,,PW,,11,,,,,E,223K,1863,,,
PD202000357029,05/03/2020 12:01:46 PM,20200313603,,50,,RT,,1,,,,TE19,,,,,,
PD202000357030,05/03/2020 12:03:20 PM,20200313633,,43,,RT,,1,,,,TE19,,,,,,
PD202000357031,05/03/2020 12:04:23 PM,,,43,,PM,,6,,4700,ANDREW JACKSON PKWY,515A,525,525,9727,,,
PD202000357033,05/03/2020 12:05:45 PM,20200313602,,50,,RV,,1,,,,823A,MT,825N,8527,,,
PD202000357034,05/03/2020 12:07:35 PM,20200313669,,50,,RT,,1,,,,TE10,,,,,,
PD202000357035,05/03/2020 12:07:44 PM,,,71,,A,ALARM,4,,,,BHPD,MT,823,6931,,,
PD202000357036,05/03/2020 12:07:49 PM,20200313608,,16,,P,PROGRESS,1,,,,317A,,,,,,
PD202000357037,05/03/2020 12:07:49 PM,,,43,,PM,,11,,,,,M,713,1615,,,
PD202000357038,05/03/2020 12:08:21 PM,,,96,,,,15,,,,423A,C,423,4077,,,
PD202000357039,05/03/2020 12:09:19 PM,,,88,,PW,,11,,,,,W,117K,6105,,,
PD202000357040,05/03/2020 12:09:24 PM,,,43,,A,ALARM,11,,,,331A,S,335,8997,,,
PD202000357041,05/03/2020 12:09:31 PM,,,96,,,,12,,,,55S39,PCW,,,,,
PD202000357043,05/03/2020 12:10:02 PM,20200313687,,43,,RT,,1,,,,TE10,,,,,,
PD202000357045,05/03/2020 12:11:01 PM,20200313630,,43,,RT,,1,,,,TE17,,,,,,
PD202000357051,05/03/2020 12:13:35 PM,,,44,,P,PROGRESS,4,,,,221A,E,221,1875,,,
PD202000357052,05/03/2020 12:15:11 PM,20200313711,,50,,R,REPORT,1,,,,TE10,,,,,,
PD202000357053,05/03/2020 12:15:51 PM,,,15,,P,PROGRESS,15,,3700,BELL RD,2912,,132,0,36.154,-86.623,POINT (-86.623 36.154)
PD202000357054,05/03/2020 12:16:56 PM,,,50,,RV,,4,,,,334B,S,335N,8901,,,
PD202000357055,05/03/2020 12:17:26 PM,,,45,,P,PROGRESS,1T,,,,223A,E,223N,1833,,,
PD202000357056,05/03/2020 12:18:04 PM,,,44,,P,PROGRESS,6,,300,FOREST PARK RD,723A,713,713,1627,,,
PD202000357057,05/03/2020 12:18:18 PM,,,87,,P,PROGRESS,4T,,,,533A,H,533,8955,,,
PD202000357058,05/03/2020 12:19:05 PM,,,45,,P,PROGRESS,1,,3900,BELL RD,521A,,,,,,
PD202000357060,05/03/2020 12:20:09 PM,,,43,,P,PROGRESS,4,,6100,MORROW RD,111A,,131W,0,36.163,-86.863,POINT (-86.863 36.163)
PD202000357061,05/03/2020 12:20:19 PM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4T,,,,533A,H,533,8957,,,
PD202000357062,05/03/2020 12:20:31 PM,,,96,,,,12,,,,821A,MT,821K,8023,,,
PD202000357063,05/03/2020 12:21:06 PM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,11,,,,,H,533,8989,,,
PD202000357064,05/03/2020 12:21:12 PM,,,44,,P,PROGRESS,4,,,,535A,H,531K,8823,,,
PD202000357065,05/03/2020 12:22:46 PM,,,87,,P,PROGRESS,11,,,,,M,725,1706,,,
PD202000357067,05/03/2020 12:24:48 PM,,,43,,P,PROGRESS,15,,400,W OLD HICKORY BLVD,725A,M,723,1773,,,
PD202000357068,05/03/2020 12:25:02 PM,,,43,,PV,,4,,,,331B,S,333,8867,,,
PD202000357069,05/03/2020 12:25:13 PM,,,44,,R,REPORT,14,,,,617A,N,617N,4341,,,
PD202000357071,05/03/2020 12:25:21 PM,,,70,,A,ALARM,12,,900,SEPTO CT,325A,335,325,8891,36.075,-86.652,POINT (-86.652 36.075)
PD202000357072,05/03/2020 12:26:31 PM,20200313614,,54,,P,PROGRESS,6,,,,720A,M,727,1731,,,
PD202000357073,05/03/2020 12:26:38 PM,,,43,,PM,,6,,,,321A,S,323K,8889,,,
PD202000357074,05/03/2020 12:26:58 PM,,,87,,P,PROGRESS,4,,,,412A,ECC,411,4159,,,
PD202000357075,05/03/2020 12:27:29 PM,,,43,,P,PROGRESS,4,,2200,NOLENSVILLE PKE,315A,,425T,0,36.126,-86.753,POINT (-86.753 36.126)
PD202000357076,05/03/2020 12:29:05 PM,,,43,,P,PROGRESS,4,,100,RAYON DR,525A,525,525,9611,,,
PD202000357077,05/03/2020 12:29:21 PM,20200313700,,44,,P,PROGRESS,10,,,,320A,S,335,8967,,,
PD202000357079,05/03/2020 12:30:24 PM,,,87,,P,PROGRESS,6,,,,513A,H,531,8951,,,
PD202000357080,05/03/2020 12:31:38 PM,,,96,,,,12,,,,211A,E,215K,1331,,,
PD202000357081,05/03/2020 12:32:08 PM,,,96,,,,12,,200,N 1ST ST,5828,,433W,0,36.175,-86.774,POINT (-86.774 36.175)
PD202000357082,05/03/2020 12:32:13 PM,,,45,,P,PROGRESS,1,,,,333A,S,333,8865,,,
PD202000357084,05/03/2020 12:34:03 PM,,,87,,P,PROGRESS,5S,,,,831A,MT,831,8609,,,
PD202000357086,05/03/2020 12:34:15 PM,,,44,,P,PROGRESS,6,,4200,OLD HICKORY BLVD,517A,,334Y,0,36.222,-86.625,POINT (-86.625 36.222)
PD202000357087,05/03/2020 12:35:52 PM,,,70,,A,ALARM,11,,,,833A,MT,835,8651,,,
PD202000357088,05/03/2020 12:36:38 PM,,,43,,P,PROGRESS,11,,,,,C,411N,4141,,,
PD202000357090,05/03/2020 12:37:13 PM,,,43,,A,ALARM,11,,,,833A,MT,823,6417,,,
PD202000357091,05/03/2020 12:37:16 PM,,,15,,P,PROGRESS,4,,7000,CHARLOTTE PKE,123A,,,,,,
PD202000357092,05/03/2020 12:37:43 PM,20200313631,,50,,RV,,1,,,,712A,,,,,,
PD202000357093,05/03/2020 12:37:50 PM,20200313681,,43,,RT,,1,,,,TE19,,,,,,
PD202000357096,05/03/2020 12:39:39 PM,,,44,,R,REPORT,4,,,,511A,H,511K,9003,,,
PD202000357097,05/03/2020 12:40:55 PM,,,43,,P,PROGRESS,15,,,,411A,C,413K,4311,,,
PD202000357099,05/03/2020 12:41:45 PM,,,87,,P,PROGRESS,5,,,,835A,MT,835,8651,,,
PD202000357100,05/03/2020 12:42:00 PM,,,43,,P,PROGRESS,15,,4600,CHARLOTTE AV,2913,,,,,,
PD202000357102,05/03/2020 12:43:14 PM,20200313642,,63,,P,PROGRESS,6,,,,211A,E,217,1411,,,
PD202000357103,05/03/2020 12:43:23 PM,,,43,,P,PROGRESS,4,,400,OLD HICKORY BLVD,833A,,,,,,
PD202000357105,05/03/2020 12:45:37 PM,,,43,,P,PROGRESS,4,,,,513A,H,517K,9113,,,
PD202000357106,05/03/2020 12:45:51 PM,,,43,,P,PROGRESS,4,,,,616A,N,613K,4521,,,
PD202000357107,05/03/2020 12:46:02 PM,,,43,,P,PROGRESS,4,,1900,DICKERSON PKE,,,218U,0,36.203,-86.769,POINT (-86.769 36.203)
PD202000357108,05/03/2020 12:46:20 PM,,,92,,P,PROGRESS,15,,,,5161,E,215P,1235,,,
PD202000357109,05/03/2020 12:47:17 PM,,,70,,A,ALARM,11,,,,,MT,833K,6313,,,
PD202000357110,05/03/2020 12:48:37 PM,,,43,,P,PROGRESS,4,,500,JONES POINTE,525A,H,525,9705,,,
PD202000357111,05/03/2020 12:48:47 PM,,,70,,A,ALARM,11,,,,121A,W,117,6021,,,
PD202000357112,05/03/2020 12:48:49 PM,,,96,,,,15,,,,412A,C,423,4015,,,
PD202000357113,05/03/2020 12:49:28 PM,,,87,,P,PROGRESS,11,,3700,BELL RD,511A,,,,,,
PD202000357115,05/03/2020 12:50:58 PM,,,43,,P,PROGRESS,4,,,,221A,E,227,1943,,,
PD202000357116,05/03/2020 12:51:18 PM,,,92,,P,PROGRESS,15,,,,7F73,H,535,8983,,,
PD202000357117,05/03/2020 12:52:16 PM,,,96,,,,12,,,,55S39,PCW,,,,,
PD202000357118,05/03/2020 12:52:53 PM,,,44,,P,PROGRESS,5,,300,INTERSTATE DR,421A,,436Z,0,36.169,-86.767,POINT (-86.767 36.169)
PD202000357121,05/03/2020 12:53:55 PM,,,15,,P,PROGRESS,15,,200,N 1ST ST,411A,,433W,0,36.175,-86.774,POINT (-86.774 36.175)
PD202000357123,05/03/2020 12:54:51 PM,,,43,,P,PROGRESS,4,,,,513A,H,513,9025,,,
PD202000357124,05/03/2020 12:55:19 PM,,,44,,P,PROGRESS,11,,,,323A,S,311N,8159,,,
PD202000357125,05/03/2020 12:55:29 PM,20200313904,,43,,RT,,1,,,,TE08,S,321N,8713,,,
PD202000357127,05/03/2020 12:56:54 PM,,,96,,,,12,,,,5253,N,611,4403,,,
PD202000357129,05/03/2020 12:57:43 PM,,,96,,,,12,,,,55S39,C,423,4017,,,
PD202000357130,05/03/2020 12:58:35 PM,,,70,,A,ALARM,11,,,,,S,331,8759,,,
PD202000357131,05/03/2020 12:59:09 PM,20200313666,,44,,R,REPORT,1,,,,113A,,,,,,
PD202000357133,05/03/2020 01:00:52 PM,20200313742,,43,,RT,,1,,,,TE10,,,,,,
PD202000357134,05/03/2020 01:01:23 PM,,,95,,,,4,,,,525A,H,525,9605,,,
PD202000357135,05/03/2020 01:02:58 PM,,,96,,,,12,,,,5253,W,115,,,,
PD202000357136,05/03/2020 01:03:22 PM,,,43,,P,PROGRESS,6,,,,623A,N,621K,3047,,,
PD202000357137,05/03/2020 01:04:54 PM,,,43,,R,REPORT,10,,,,530A,H,513,9123,,,
PD202000357139,05/03/2020 01:06:00 PM,20200313674,,44,,R,REPORT,1,,,,616A,,,,,,
PD202000357140,05/03/2020 01:06:24 PM,,,87,,P,PROGRESS,4,,,,TDOT,W,111,45020,,,
PD202000357141,05/03/2020 01:06:58 PM,,,45,,P,PROGRESS,11,,,,,S,331K,8717,,,
PD202000357143,05/03/2020 01:08:09 PM,,,43,,A,ALARM,13,,,,325A,S,325,,,,
PD202000357144,05/03/2020 01:09:02 PM,,,88,,P,PROGRESS,11,,,,,MT,821K,6905,,,
PD202000357146,05/03/2020 01:10:33 PM,20200313748,,44,,P,PROGRESS,6,,,,521A,,,,,,
PD202000357147,05/03/2020 01:11:11 PM,,,43,,P,PROGRESS,5S,,,,221A,E,217,,,,
PD202000357149,05/03/2020 01:12:32 PM,,,88,,PW,,5,,,,413A,C,413K,4304,,,
PD202000357150,05/03/2020 01:13:01 PM,,,87,,P,PROGRESS,11,,,,,W,111,45024,,,
PD202000357151,05/03/2020 01:13:35 PM,,,43,,P,PROGRESS,15,,,,2911,MT,813P,5623,,,
PD202000357152,05/03/2020 01:14:16 PM,,,15,,P,PROGRESS,15,,100,N 1ST ST,411A,,433W,0,36.171,-86.773,POINT (-86.773 36.171)
PD202000357153,05/03/2020 01:14:42 PM,,,71,,A,ALARM,6,,,,315A,S,311,,,,
PD202000357154,05/03/2020 01:14:46 PM,,,15,,P,PROGRESS,15,,,,2932,MT,813P,5623,,,
PD202000357155,05/03/2020 01:15:10 PM,,,43,,P,PROGRESS,6,,2400,26TH AV N,811C9,,411Y,0,36.189,-86.818,POINT (-86.818 36.189)
PD202000357156,05/03/2020 01:15:14 PM,,,43,,P,PROGRESS,4,,2200,26TH AV N,410B,,,,,,
PD202000357157,05/03/2020 01:15:51 PM,,,43,,P,PROGRESS,15,,300,OLD HICKORY BLVD W,723A,723,723,1763,,,
PD202000357159,05/03/2020 01:16:06 PM,,,15,,P,PROGRESS,15,,,,425A,C,425,4001,,,
PD202000357161,05/03/2020 01:16:54 PM,,,71,,A,ALARM,12,,,,611B,N,611K,4443,,,
PD202000357163,05/03/2020 01:18:42 PM,,,96,,,,15,,,,113A,W,113N,5217,,,
PD202000357164,05/03/2020 01:20:31 PM,20200313693,,54,,PV,,6,,,,215A,E,211,1011,,,
PD202000357165,05/03/2020 01:20:55 PM,20200313691,,53,,PV,,11,,,,424A,N,615,5327,,,
PD202000357167,05/03/2020 01:21:06 PM,,,96,,,,12,,3600,BELL RD,535A,,324Y,0,36.149,-86.626,POINT (-86.626 36.149)
PD202000357168,05/03/2020 01:21:39 PM,,,87,,P,PROGRESS,11,,,,,W,111K,45024,,,
PD202000357169,05/03/2020 01:22:38 PM,,,15,,P,PROGRESS,4,,7000,CHARLOTTE PKE,123A,,136Z,0,36.129,-86.905,POINT (-86.905 36.129)
PD202000357171,05/03/2020 01:23:27 PM,,,44,,P,PROGRESS,9S,,3400,PERCY PRIEST DR,535A,,,,,,
PD202000357172,05/03/2020 01:23:38 PM,,,96,,,,12,,,,831A,MT,831N,8661,,,
PD202000357173,05/03/2020 01:25:22 PM,,,15,,P,PROGRESS,15,,,,2933,MT,813P,5623,,,
PD202000357174,05/03/2020 01:26:28 PM,,,43,,RT,,1,,,,TE17,H,533,8957,,,
PD202000357175,05/03/2020 01:26:54 PM,,,96,,,,12,,,,117A,W,117N,6209,,,
PD202000357176,05/03/2020 01:26:57 PM,,,83,,P,PROGRESS,10,,,,530A,H,535K,8935,,,
PD202000357179,05/03/2020 01:28:01 PM,20200313729,,50,,R,REPORT,1,,,,531A,,,,,,
PD202000357180,05/03/2020 01:30:05 PM,,,50,,TV,,11,,1500,CRESTVIEW DR,,725,727,1757,,,
PD202000357181,05/03/2020 01:31:27 PM,,,15,,P,PROGRESS,15,,,,2912,E,215P,1357,,,
PD202000357183,05/03/2020 01:31:43 PM,,,96,,,,12,,,,821A,MT,821N,8025,,,
PD202000357184,05/03/2020 01:32:05 PM,,,96,,,,15,,,,412A,S,311K,8119,,,
PD202000357185,05/03/2020 01:32:14 PM,,,92,,P,PROGRESS,4,,,,2911,MT,821K,8019,,,
PD202000357187,05/03/2020 01:33:56 PM,,,44,,P,PROGRESS,9S,,,,617A,N,617K,4239,,,
PD202000357189,05/03/2020 01:37:25 PM,,,88,,P,PROGRESS,13,,,,811A,MT,813N,5615,,,
PD202000357191,05/03/2020 01:37:44 PM,,,43,,P,PROGRESS,4,,400,W OLD HICKORY BLVD,721A,M,723,1773,,,
PD202000357192,05/03/2020 01:38:03 PM,,,44,,P,PROGRESS,11,,,,833A,TE,835K,8655,,,
PD202000357193,05/03/2020 01:38:22 PM,,,43,,P,PROGRESS,15,,300,,723A,M,723,1743,36.264,-86.716,POINT (-86.716 36.264)
PD202000357194,05/03/2020 01:38:32 PM,,,43,,P,PROGRESS,5W,,1500,GALLATIN PKE N,711A,,,,,,
PD202000357195,05/03/2020 01:40:34 PM,,,43,,P,PROGRESS,1,,,,,MT,833N,8615,,,
PD202000357196,05/03/2020 01:40:45 PM,,,70,,A,ALARM,12,,,,55S19,E,213,1259,,,
PD202000357198,05/03/2020 01:42:41 PM,,,43,,PM,,11,,,,423A,C,425K,4043,,,
PD202000357199,05/03/2020 01:42:51 PM,,,96,,,,12,,,,815A,MT,815,5825,,,
PD202000357201,05/03/2020 01:43:14 PM,,,43,,R,REPORT,4,,,,721A,M,721,2045,,,
PD202000357202,05/03/2020 01:43:35 PM,,,43,,P,PROGRESS,4,,400,MYATT DR,3615,M,715,1715,,,
PD202000357204,05/03/2020 01:45:46 PM,,,43,,PM,,6,,,,831A,MT,831N,8609,,,
PD202000357206,05/03/2020 01:46:26 PM,20200313932,,50,,RV,,1,,,,335B,,,,,,
PD202000357207,05/03/2020 01:46:55 PM,,,70,,A,ALARM,13,,,,725A,M,725,,,,
PD202000357208,05/03/2020 01:48:11 PM,,,43,,P,PROGRESS,4,,,,823A,MT,823,6917,,,
PD202000357210,05/03/2020 01:50:05 PM,,,43,,P,PROGRESS,15,,,,2913,W,119Q,,,,
PD202000357211,05/03/2020 01:51:03 PM,,,96,,,,15,,,,422A,C,423N,4009,,,
PD202000357212,05/03/2020 01:51:27 PM,,,43,,P,PROGRESS,8,,,,513A,H,511K,9005,,,
