Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356092,05/03/2020 12:42:44 AM,,,93,,,,9T,,,,111C,W,111,4543,,,
PD202000356095,05/03/2020 12:42:54 AM,,,96,,,,4,,,,815C,MT,815,5901,,,
PD202000356096,05/03/2020 12:44:50 AM,,,40,,PV,,4,,,,515C,H,513,9011,,,
PD202000356097,05/03/2020 12:45:34 AM,,,96,,,,12,,,,811C,MT,813N,5601,,,
PD202000356098,05/03/2020 12:46:23 AM,,,96,,,,15,,,,122C,W,125K,4811,,,
PD202000356100,05/03/2020 12:47:00 AM,,,96,,,,12,,,,515C,H,513K,9021,,,
PD202000356101,05/03/2020 12:47:22 AM,,,96,,,,12,,,,5281,C,423,,,,
PD202000356102,05/03/2020 12:48:20 AM,,,57,,PJ,,6,,900,N 12TH ST,221C,,213V,0,36.186,-86.745,POINT (-86.745 36.186)
PD202000356104,05/03/2020 12:49:32 AM,,,96,,,,15,,,,121C,W,123N,4701,,,
PD202000356105,05/03/2020 12:50:45 AM,,,40,,PV,,9S,,,,835C,MT,831,8511,,,
PD202000356109,05/03/2020 12:51:43 AM,20200312804,,57,,P,PROGRESS,6,,,,332C,,,,,,
PD202000356114,05/03/2020 12:54:59 AM,,,44,,P,PROGRESS,9S,,1500,GALLATIN PKE S,715C,M,711,1509,,,
PD202000356117,05/03/2020 12:56:13 AM,20200312788,,43,,PM,,6,,,,520C,H,531,8827,,,
PD202000356118,05/03/2020 12:56:15 AM,,,62,,P,PROGRESS,4C,,3800,CANTARUTTI RD,623C,,627,3245,36.283,-86.879,POINT (-86.879 36.283)
PD202000356119,05/03/2020 12:56:18 AM,,,43,,P,PROGRESS,6,,,,314C,S,313,8335,,,
PD202000356120,05/03/2020 12:56:35 AM,,,40,,PV,,9T,,,,313C,S,313,8359,,,
PD202000356121,05/03/2020 12:56:39 AM,,,87,,P,PROGRESS,4,,,,8E85,N,613,4461,,,
PD202000356122,05/03/2020 12:56:52 AM,,,43,,P,PROGRESS,4,,600,FRANKLIN LIMESTONE RD,323C,,,,,,
PD202000356123,05/03/2020 12:57:12 AM,,,40,,PV,,2,,,,317C,S,317N,8421,,,
PD202000356124,05/03/2020 12:57:55 AM,,,96,,,,12,,,,123C,W,125K,4815,,,
PD202000356126,05/03/2020 12:58:14 AM,,,96,,,,12,,,,335C,S,333,8765,,,
PD202000356127,05/03/2020 12:58:38 AM,,,96,,,,12,,,,823C,MT,833,8621,,,
PD202000356128,05/03/2020 12:58:46 AM,,,43,,P,PROGRESS,4,,,,331C,S,331,8717,,,
PD202000356129,05/03/2020 12:58:59 AM,,,40,,PV,,4,,1400,LEBANON PKE,515C,,,,,,
