Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000174963,03/03/2020 12:34:38 AM,,,96,,,,12,,,,221C,E,221N,1953,,,
PD202000174964,03/03/2020 12:35:24 AM,,,96,,,,15,,,,415C,C,421,4093,,,
PD202000174965,03/03/2020 12:35:38 AM,,,71,,A,ALARM,11,,,,322C,S,325,,,,
PD202000174966,03/03/2020 12:36:28 AM,,,96,,,,12,,1300,MURFREESBORO PKE,311C,,321V,0,36.116,-86.697,POINT (-86.697 36.116)
PD202000174967,03/03/2020 12:37:15 AM,,,3,,,,4,,5100,HARDING PL,315C,,323W,0,36.09,-86.688,POINT (-86.688 36.09)
PD202000174968,03/03/2020 12:37:21 AM,,,43,,P,PROGRESS,4,,,,227C,E,227,,,,
PD202000174969,03/03/2020 12:38:01 AM,,,43,,P,PROGRESS,4,,,,325C,C,423N,4023,,,
PD202000174970,03/03/2020 12:38:35 AM,,,71,,A,ALARM,11,,,,533C,H,521,,,,
PD202000174971,03/03/2020 12:39:02 AM,,,45,,P,PROGRESS,5,,100,GALLATIN PKE N,727C,M,723,1763,,,
PD202000174972,03/03/2020 12:39:03 AM,,,70,,A,ALARM,11,,,,531C,H,523,,,,
PD202000174973,03/03/2020 12:39:06 AM,,,70,,A,ALARM,12,,,,521C,H,523,,,,
PD202000174974,03/03/2020 12:39:24 AM,,,71,,A,ALARM,11,,,,821C,MT,823K,6515,,,
PD202000174975,03/03/2020 12:39:50 AM,,,71,,A,ALARM,10,,,,113C,W,115K,4653,,,
PD202000174976,03/03/2020 12:39:53 AM,,,96,,,,12,,1200,BRIARVILLE RD,723C,723,723,1791,,,
PD202000174977,03/03/2020 12:40:11 AM,,,71,,A,ALARM,4,,,,117C,W,115,,,,
PD202000174979,03/03/2020 12:40:29 AM,,,43,,P,PROGRESS,15,,,,217C,E,213,,,,
PD202000174980,03/03/2020 12:41:01 AM,,,96,,,,12,,2700,DICKERSON PKE,225C,,217W,0,36.215,-86.764,POINT (-86.764 36.215)
PD202000174981,03/03/2020 12:41:07 AM,,,70,,P,PROGRESS,13,,,,113C,W,113N,5205,,,
PD202000174982,03/03/2020 12:41:53 AM,,,71,,A,ALARM,12,,,,111C,W,115,4621,,,
